tweet|reason
superonlinedan tarihinde internet aboneligi yaptırdık aboneligi yapınca soylenen fiyat gelen faturalar farklı abonelikte engelli indirimi olacagını engelli kartımızı ibraz ettigimizi faturamızın indirimli olacagı soylendi engelli indirimini islemediklerini soyluyorlar kurulum ozellikle sordum teyit ettirdim engelli indirimi olacak engelli kartını sisteme isleyin dedim isledik dediler sonuc yanıltıcı turk telekom kullanıyordum kesinlikle turk telekomdan pisman olmazsınız|fatura
superonline odeme gecikmesi halinde yeniden hızlandırma bedeli adı altında yasal olmayan bir bedel talep ediyor bedel haziran tl bedelin belirlendigi bir hizmet sundugu belirsiz olup bedelin tahsil edilmesi haksız kazanctır gecikme halinde gecikme faizi yasal yeniden hızlandırma bedelinin yasal bir dayanagı yoktur tuketici haklarıyla ortusmemektedir iliskin sozlesmede bir duzenleme olsa sozlesmeler genel islem sartlarından sayılmakta olup aleyhe olan hususlar kanunen gecersiz sayılmaktadır tarafıma yansıtılan hızlandırma bedelinin iptalini talep ediyorum musteri numaram|network
superonline musterisiyim fatura odemem gun gecikti veri kullanımımı yavaslattılar fatura odemesini hemen yaptım bir sonraki faturama tl ekleme yapmıslar hizmet bedelleri adı altında veri kullanımım kısıtlandı gun boyunca bir ustune faturama ek tutar eklenmis mesaj bilgilendirme yapılmadan musteri temsilcisini aradım bugun telefonu yuzume kapattı konusurken detaylı acıklama bilgilendirme yapmadan|fatura
superonline odeme gecikmesi halinde yeniden hızlandırma bedeli adı altında yasal olmayan bir bedel talep ediyor bedel haziran tl bedelin belirlendigi bir hizmet sundugu belirsiz olup bedelin tahsil edilmesi haksız kazanctır gecikme halinde gecikme faizi yasal yeniden hızlandırma bedelinin yasal bir dayanagı yoktur tuketici haklarıyla ortusmemektedir iliskin sozlesmede bir duzenleme olsa sozlesmeler genel islem sartlarından sayılmakta olup aleyhe olan hususlar kanunen gecersiz sayılmaktadır yeniden hızlandırma bedeli sikayetimi musteri hizmetleri kanalı iletmek istedigimde bir kayıt alamadıklarını ilettiler enteresan uygulamalar millenicom dan ceza odeyerek cıktım turkcell den cıkacagım merak etmesinler senedir musteriyim hemen ceza yazmıssınız gun gecikti mahkemeye verecegim|diğer
superonline binadaki birisine internet baglarken port olmadıgı gerekcesiyle porttan sokup musteriye yonlendirmis gundur internet gelecek bekliyoruz hattı kontrol etmeden isten anlamayan personellere yaptırıyor|network
turkcell superonlineye kayıtlı numaralı musterisiyim abone olarak online ozel ay ucretsiz mbps kampanyasına basvuru yaptım evde etapta televizyon olmadıgı tv plus baglanamadı olaydan saat gecmeden yeni baglantı talebi kayıt olusturdum kaydı acan musteri hizmetleri kayıt acmamıs kuruluma gelmediler superonline paketimi habersiz sekilde degistirip fatura cıkartmıs anda magdurum magduriyetimin giderilmesini talep ediyorum musteri hizmetlerinde calısan adındaki bayan sekilde yardım cozum odaklı degildi surekli oflayıp pufluyordu hizmet olamaz|fatura
vizyonsuz superonline inovasyonu olmayan bir firma sosyal medya ekibi bilgisiz cagrı merkezindeki robotlar bunlardan bilgili fiberden vdsle gecis yapmaya calısıyoruz gunlerdir beceremediler baglantıyı saglamak saha ekiplerine ulasamayan bir firma turkcell sosyal medyadaki sorulara cevap veremiyor bilgi yok basit soruları cevaplıyorlar beyinlerinin yettiklerini cevaplayabiliyorlar yetmediklerini cevap veremiyorlar vdsl kampanyası basvurdum aynı fiyata yeni vdsl musterilerine ay ucretsiz kampanyaları var faydalanmak istedigimi belirttim cevap veremiyorlar gecis yaptıktan kampanya secebilirsin diyorlar gecis yaparken kampanya secilir gecisten kampanya seceyim|çağrı merkezi yetkinlik
mbps superonline internetim kötü bir halde surekli kesilmeler geceleri kesilmeler kapanmalar oyunda dususler kısacası var testlerde mbps degerini zor goruyorum musteri hizmetleri yavas islevsiz iki sikayet maili atmama bir cevap aldım bir gelisme aldım hizmet aylık yuzlerce lira oduyorum kesilmede musteri hizmetlerini aramak zorunda mıyım turkcell bir markadan rezil hizmet almak istemiyorum sorunumun bir an cozulmesini istiyorum|çağrı merkezi yetkinlik
turkcell superbox aboneligi yaptık cekim gucu az sozde yeni gelen modemmis modeme baglı alarm sistemi kurduk gunduz gece kafasına internetten alarm calıyor yan odadan internet cekmiyor bahcede modemden metre mesafede internet cekmiyor kafasına takılıyor bir gidip bir geliyor komsunun superboxu metreden kullanıyorum bizimkini metreden kullanamıyorum aradım guncelleme yaptılar sorun devam ediyor sorun modemin yanında arayın diyorlar uzaktayım alarm sistemi kurdum gelip ilgilenen yok kalan sozlesmesinin bitmesini bekliyorum kurtulacagım mutluyum bir tovbe|network
superonlineda ay tl oduyordum haziran ayı guncel faturaya bastım tl yazıyor sebebi nedir taahhudumun bitmesine ay var internet kullanımımda bir sıkıntı yok paketimde internet tl artı tv plus tl iken bir anda internet tlye cıkabiliyor|fatura
tarihinde superonline musterisi olarak arıza kaydı olusturdum tarihinde vermis oldugum numarayı numarayı aramıslar bilhassa numaramı vermistim tarihinde apartmana gelen yetkili servisler komsunun internetindeki arızayı yapmak geldiler sonrasında bozuldu defalarca aradıgım halde acil arıza kaydı olusturduk demelerine gelen giden olmadı telefonumda ek internet paketi yapmaktan bir hal oldum haziran oldu hala gelen giden donus yapan olmadı surekli telefonda oyalanıyorum maddi zararlarım olusmustur acil gereginin yapılmasını istiyorum sekilde magdur bırakılmaz|network
online uzerinden yeni uyelik superonline sitesinden basvurumu yaptım adres kısmında bilgiler kapı numarası bilgilerin tamamı olup cadde sokak bina no blok no kapı no ok apartman isminin onunde bulunan yazısı yanlıslıkla olmus olup olivya parkolivya park duzeltme adı altında gundur oyalanıyorum sistemlerin gelismis oldugu sektorde zaman liderlikten bahseden turkcell superonline firmasına yakısmamaktadır musteri memnuniyeti konusunda yardımlarınızı acil olarak beklemekteyim|network
superonline bir hayal kırıklıgı gun gecti bir internetimi baglamadılar defa abonelik basvurusu yaptım birincisi nde hafta bekledik efendim bina girisinde sinyal yokmus kayıt acıp duzeltecegiz dendi sonuc sıfır iptal edip yeniden basvurduk port arızası var duzeltecegiz sıfır defalarca aradım durumu sikayet ettim bir ilgilenen cıkmadı yılında internet cagında yasadıgımız durum bu haaa istanbul bir yerde sisli oturuyorum doguda bir koyde yani utanc verici bir durum reklam yapıyorlar bir numarayız diyorlar durum sıfır rezil ettiler gun boyunca bosuna beklettiler iptal ettim|network
superonline gunluk gecikmeye tl ekstra yansıtıyor kesinlikle tavsiye edilecek bir firma degil firmada cezai bedel gormedim kullanılacak bir hizmeti yok unutulmus surekli hatırlatma yaparsın fazla tutar kesebilmek bir bilgilendirme yapıldı|network
superonline tv plus kullanıyorum yıldır zaman abonelik yıl yenilendi tv plus kutusu degismedi yıllar icinde yeni guncelleme alamadıgı hata verdi musteri hizmetleri ekip yonlendirdi ekip geldi bozuk cihazı cıkardı eski oldugu belli olan bir cihazı taktı superonline hizmete tl yansıtmıs anlamıs degilim onemseyip aramadım ay cihazdan cızırtı geldigini dusunerek tekrar aradım hemen arıza kaydı olusturup ekip yolladılar kutudan degilmis dakikalık ise tl faturaya yansımıs ayım kaldı aboneligimin bitmesine superonline isim olmaz firmayla|fatura
superonline internetimin taahhudu doldu gecen ay tl fatura kesilirken ay tl kartımdan faturam kesildi musteri hizmetlerine baglandıgım zaman taahhudumu bittigini indirimsiz bir sekilde kampanyadan yararlanabilecegimi soylediler paramın geri iade edilmesini talep ettim durumda ayki faturaya bir yapamayacaklarını gelecek taahhudum yenilersem indirimli fiyatta kullanmaya devam edecegimi soylediler peki soruyorum nedir sozlesmede taahhutsuz kullandıgım takdirde indirimsiz fiyattan faydalanamayacagım yazıldıgı soylendi bir gormedim okumadım bir bilgide verilmedi sozlesmenin altında fatura odeyecegim yazmıyor kafalarına ucret kesecekler kesinlikle ay tl odeyecegime bir bilgilendirme mesajı gelmedi haricinde gelen mesaj taahhudumun bittigi konu hakkında haklarımı sonuna kullanacagım paramın geri iade edilmesini istiyorum kafalarına fatura kesemezler|fatura
merhabalar superonline kullanıcısıyım uzaktan evdeki bilgisayarıma baglanmak adına rdp portunu actım uzak masaustu baglantısı kuramadım kontrol sagladıgımda ip adresimin cgn havuzuna dustugunu sebeple port acma islemi yapamadıgımı fark ettim sizlerin yaptıgı tasarruf bizleri gercekten magdur etmekte servis saglayıcımızdan memnun olmamamızı saglıyor fiber altyapıda mbps internet baglantısı kullanırken sabit ip almadıgım surece cgn havuzuna dusuyorum durumun duzeltilip havuzdan cıkartılmayı talep ediyorum|network
tl tv plus dediler fatura tl geldi mbps internet kullanıyorum gun fis cekip reset atıyorum mbps altında internet veriyor ay oldu baslayalı uyelik cayma bedeli tl mi|fatura
superonline odeme gecikmesi halinde yeniden hızlandırma bedeli adı altında yasal olmayan bir bedel talep ediyor bedel tl bedelin belirlendigi bir hizmet sundugu belirsiz olup bedelin tahsil edilmesi haksız kazanctır gecikme halinde gecikme faizi yasal yeniden hızlandırma bedelinin yasal bir dayanagı yoktur tuketici haklarıyla ortusmemektedir iliskin sozlesmede bir duzenleme olsa sozlesmeler genel islem sartlarından sayılmakta olup aleyhe olan hususlar kanunen gecersiz sayılmaktadır yeniden hızlandırma bedeli sikayetimi musteri hizmetleri kanalı iletmek istedigimde bir kayıt alamadıklarını ilettiler enteresan uygulamalar|çağrı merkezi yetkinlik
turkcell superonline yeniden hızlandırma bedeli adı altında faturaya ekstra tl eklemis gecen ay benzer bir durum yasanmıs tl talep edilmisti durumu yetkililerin gorup ilgilenmesini rica ediyorum yeniden hızlandırma bedeli nedir interneti kullanıyoruz hızlı olması bekleniyor durumun acıklıga kavusturulmasını istiyorum|fatura
superonline odeme gecikmesi halinde yeniden hızlandırma bedeli adı altında yasal olmayan bir bedel talep ediyor bedel haziran tl olup bedelin belirlendigi bir hizmet sundugu belirsizdir bedelin tahsil edilmesi haksız kazanctır gecikme halinde gecikme faizi yasal iken yeniden hızlandırma bedelinin yasal bir dayanagı yoktur tuketici haklarıyla ortusmemektedir iliskin sozlesmede bir duzenleme olsa da sozlesmeler genel islem sartlarından sayılmakta olup aleyhe olan hususlar kanunen gecersiz sayılmaktadır yeniden hızlandırma bedeli sikayetimi musteri hizmetleri kanalı iletmek istedigimde bir kayıt alamadıklarını ilettiler yuzden sikayeti iletiyorum onceki musterilerin yaptıgı haksız talep karsısında duracagım silinmedigi takdirde tuketici haklarına mahkemeye basvurarak devam edecegim|çağrı merkezi yetkinlik
turkcell hattı olanlara superonline kesinti yapıyor evde turknet kullanıyorum aylar superonline iliskimi kestim kesinti alıyorlar kesin getirim olusturuyorlar kesintilerin sonlandırılmasını tarafıma geri iadesini talep ediyorum mahkemeye basvuracagım|network
bir hafta superonlinedan arandım taahhut yenilemedim telefonu kapattıktan hızım anlamsız bir sekilde dustu internetim surekli kesildi yıldır musterinizim yazık gunah istedikleri olmazsa ceza keser gibi parasını odedigim internetim yavaslatılıyor|network
yasal olmayan bir sekilde tarafıma tl yeniden hızlandırma bedeli yansıtıldı bedelin kesinlikle bir yasal dayanagı yoktur geri alınmasını talep ediyorum ilgililer mesaja cevap versinler tuketici hakem heyetine basvuruda bulunacagımı belirtmek istiyorum|diğer
surekli baglantı kopması yasadıgım superonline ay boyunca sorunu yasattı defalarca aradım defasında cozmek ugrastıklarını soylediler gunde dakika kullanamadıgım hizmetten ay taahhudum doluyor|network
turkcell bir fatura cıkardı deprem bolgesinde ikamet ediyorum sozlesme detayları verilmedi fatura hakkında bilgi verilmedi magdur oldum lira ek hizmet bedeli aldılar yazıktır gunahtır adam akıllı internet kullanmadım toplam lira bir para aldılar yatırdım yeni faturam lira oderken lira oldu hakkımı helal etmiyorum|fatura
defalarca aramama eve teknik servis cagırmama ragmen internetin anlık kopmalarını gidermediler interneti bir kisi kullanabiliyorum iptal ettirmek istiyorum taahhut var diyorlar fiber yapın diyorum altyapı diyorlar bir kurum duzen gormedim superonline pismanlıktır|network
turkcell fiber internetim gundur gun arıyorum kayıt acılmıs bekleyeceksiniz diyorlar resmen insanla alay ediyorlar gundur almadıgım hizmetin parasını alıyorlar bir rez alet anlamdım durumu cozecek gercekten anlamdım|diğer
superonline baglantım iki gundur mevcut degil durumu de sabah arayarak bildirdim bolgede bir problem oldugunu kısa surede duzelecegini belirttiler saat aradım bolgede problem olmadıgını ekip gondereceklerini soylediler ekip gelmedi arayan olmadı telefonla aradıgımda otomatik olarak islem devam ediyor mesajı alıyorum islemi devam ediyor belli degil bilgi paylasımı yok iki gundur arayan olmadı lutfen cozum uretilemeyecek turk telekomu yeni bir baglantı saglanması arayacagım evden calısan bir kisiyim iki gundur gb datamı harcadım kaynaklı bir problem ekstra internet paketi almak zorunda kalıyorum taraftan video konferans telefon datası problemli oluyor yapamıyorsanız yapamıyoruz demeniz yeterli|network
superonline internet uzerinden adresime yeni bir internet baglantısı talebinde bulundum altyapısı uygun olmadıgından hatalı olmus basvurumu iptal etmediklerinden yeni bir basvuru yapamıyorum musteri hizmetlerini defalarca aramama islem cozulmedi kayıt acılıp duruyor cozum yok basvuru gozuktugunden superonline firmalar yeni basvuru yapamıyorlar durumda internet hizmeti almamı engelliyor durumdan sikayetciyim|network
pazar gunu superonlineı aradım arıza kaydı actılar ertesi gun geldiler arızanın binaya gelen kabloda oldugunu soylediler superonlinea iletecegini soylediler aramamız gerektigini belirttiler aradım tekrar bir kayıt acıldı kablo degisimi bir ekip gelecekti sonrasında gun gelmedi ertesi gun turkcellden aradılar belli bir ucret tl kadar talep ettiler kabul ettim uc gunun geliyoruz aradıklarında arızanın oldugunu sordular kablo degisimi dedikten sonra biz yapmıyoruz elektrikci tesisatcı yapıyor dediler oyleydi aktardınız beklettiniz gelen ekip soyleseydi ayarlardım uc gun fazla bekledim tl faturama yansıyacak mı evden calısan biriyim gundur mobil internetimi kullanıyorum zarardayım tekrar turkcell musteri hizmetlerini aradıgımda bizim yapabilecegimiz bir yok binaya gelen kablo degisimini teknik servis yapıyor ekiplerimiz kabul etmiyor dediler sekilde yardımcı olmadılar tl ucreti onayladıgım halde gelmediler magdur ettiler umarım telefonda onay verdigim tl faturama yansımaz yapılmadı ekip gelmedi bile|fatura
superonline pismanlıktır bulundugum bolgede ayda iki internet kesintisi oluyor home office calısan birisiyim bir ay sozlesmem bitiyor bir asla tercih etmeyecegim bir marka haline geldi musteri temsilciligine asla ulasamıyorum internet kesintisi var bolgenizde konusan bir bant yayını var mesai saatim geldi magdurum|network
merhaba kocaelide basiskele ilcesinde oturuyorum fiber internet basvurusunda bulundum superonline binada kutusu oldugu halde kutu kurulumu askıya alıyor haftadır kurulum yapılacak randevu arayacagız diyorlar arayan var soran kocaeli netcell bayisinden sikayetciyim hizmet alamadıgım koskoca turkcell binada kutusu oldugu halde bir kablo cekemediler bu turkcellin ayıbıdır|diğer
yıllardır kullanmakta oldugumuz superonline hattımız abone no gundur calısmıyor surekli aramamıza sorun olmadıgını acıp kaparsak duzelecegini bildiriyorlar an hala internetimiz yok kullanamadıgınız interneti iptal ettirmek aradık ısrarla internetin calıstıgını sorun olmadıgını bildirdiler internet calısıyorsa baglanamıyoruz sisteminizde calısıyor gorunen internet evimizde calısmıyor|network
son bir haftadır internetim gun kesiliyor bir haftadır evde oldugum fark ediyorum muhtemelen evde olmadıgım zamanlarda devamlı kesiliyor esimin uzerineyken devamlı kesintiler vardı devam ettik sefer sozlesmemizde oldugu kesinlikle devam etmeyecegim tl oduyorum internetim gun kesiliyor internet kullanamıyorum aradıgımda devamlı bolgenizdeki internet kesintisi bolgenizdeki arızadan dolayı diyorlar bolgedeki arızayı bir cozemediler|diğer
evimizi tasıyoruz nakil istedik kurumsaldan bireysele donmemiz gerekiyormus dedik devir islemini superonline bayisinden yapacakmısız istanbul sarıyerde oturuyoruz bolgede yakın bolgelerde bayi yok yakın kucukcekmece km uzaklıkta sonuc olarak bayi agınızın yaygın olmamasının ceremesini nakit vakit olarak cektik teknolojik bir ortamda ilkel sistem superonlinea yakısmadı sikayetciyim cok|network
superonline aboneligine yeni gecis yaptım mayıs persembe gunu aksam modemi gelip bagladılar internet modem iyiydi yattım uyudum sabah ta ise gittim cuma aksam eve gelince internet yoktu aradım musteri hizmetlerini arıza kaydı acıldı telesekreter arayıp superonline kaynaklı ucretsiz kullanıcı kaynaklı tl servis ucreti var kabul ediyorsanız tuslayın evde olmadıgım kullanıcı hatası olmadıgına emin oldugum kabul ettim yetkili geldi modem arızalı modem degismesi gerekiyor ucretli gonderdiler faturanıza yansıyacak dedi kabul etmedim modemi degismeden gitti musteri hizmetleri gorustum sorunu cozmuyorlar yetkili gorusemiyorum bir haftada saat internet kullandım servis ucreti odemeden sorunumun cozulmesini istiyorum yıldır marka olan aboneligim kopma arıza yasamazken aynı alt yapıyı kullanan koskoca turkcell yapıyor buyuk hayal kırıklıgı gercekten esim toplam adet hattımızı turkcell tasıdık koskoca husrana ugradık sorunu ucretsiz cozun aboneligi kapatın|fatura
turkcell superonlinedan bıktık artık operator sirketleri kotucul tarafta magdur etme yonunde calısıyor internetimi fiber superonline kullanırken eylul te tasındım fiber altyapısı olmadıgı dsle gecmek zorunda kaldım yuksek fatura dusuk bir hizmete gecmis oldum yaklasık aydır yasadıgım kopma internetsizlik problemlerinin ardından tesadufen alt yapıyı kontrol eden turk telekom ekibinden alt yapının turk telekoma ait oldugunu fibere gecildigini dsl tarafındaki arızalara bakmadıklarını internet hizmeti alamayacagımızı basımızın caresine bakmamızı soyledi turkcell gorustugumuzde bilgiye ulastıgımızı sordu sag olsunlar cayma bedeli almayacaklarını istersek iptal edebilecegimizi etmezsek internet sorunlarıyla kullanabilecegimizi ilettiler superonline alırken turk telekom altyapısı denmedi anda yuksek bir faturayla operator arayısına giriyorum seferinde turkcell yuzunden fazla fatura odemek zorunda kalıyorum sikayetimi magdur olanlarda gorsun buraya yazıyorum yasal yollarada basvuracagım|fatura
superonline wan bilgisi problemisuperonline nl abone numarasıyla hizmet almaktayım modemin wifi ayarlarını degistirdikten sonra internet baglantısı gitti wan bilgisi istemeye basladı defalarca musteri hizmetlerini aramamam somut cozum bulamıyorlar wan bilgilerini paylasırsanız ayalarını yaparım diyorum paylasmamakta ısrarcılar destek kaydı olusturup tl ucreti oldugunu bildiriyorlar aldıgım hizmetin wan bilgisini alamıyorum gundur internetim yuzune acil bir sekilde cozume ulastırılmasını istiyorum|network
merhaba superonline firmasından almakta oldugum ev interneti hizmeti firmanın takmıs oldugu modem kablosunun arızalı olması surekli arıza vermektedir tarihlerinde arıza kaydım mevcuttur firmadan modemin arızalı olan kablo sisteminin degisimini talep etmekteyim aksi durumda parasını vermekte oldugum hizmeti alamadıgım icin sozlesmemin karsı taraf sozlesme sartlarına uymadıgı icin ucretsiz olarak feshini talep ederimmurat|network
adana cukurova huzurevleri mahallesindeki evimizde adananın gobeginde gundur internetimiz kesik gundur genel arıza oyalanıyoruz musteri hizmetlerini aradıgımızda saat sonrasını soyleyip oyalıyorlar superonline battı acaba|network
gundur is yerimizde internetimiz yok altyapı sorunu oldugunu gun aradıgımızda aynı gunun aksamına cozulecegi bilgisini alıyoruz nafile bulundugumuz bolgede sorun varmıs bir arka sokakta arkadaslarımızda sorun kullanıyorlar islerimiz aksadı mailler banka islemleri internet satısları duruyor|diğer
gun turkcell superonline interneti baglattım baglandıgı gunden surekli kopmalar yasıyorum sorunla ilgilenen yok ucretli servis cagırıyorum adam modem degistirip bakmadan incelemeden gidiyor bir sorumsuzluk olmaz bin pisman oldum taahhut umurumda iptal edip feshedecegim|network
superonline numaralı fiber abonesiyim yılı basından kesintiler yasıyorum haftada internet baglantım kesiliyor saatte bir iki gunde geri geliyor kesinti oldugunda bloktaki yirmi dort dairede superonline fiber kullanan interneti kesiliyor bloklarda oturan kullanıcılarda bir sorun yok mayıs ayında binaya superonline teknik servis elemanı geldi oturdugum binanın bodrumunda bulunan switchin arızalı oldugunu degistirilmesi gerektigini belirterek merkeze haber verecegini soyledi ayrıldı uzerinden bir yıl gecmesine switch degistirilmedi cocuklar odev yapamıyor islerimizi cep telefonundan halletmeye calısıyoruz binadaki arızalı switchi bir bucuk yıldır ısrarla degistirmeyen sebeple ay bedelini duzenli olarak odedigim internet hizmetini kor topal olarak veren superonlinedan sikayetciyim|network
adına internet basvurusu yaptım yıllık taahhutlu internet aldım telekom teknik ekibi ertesi gun baglantıyı yaptı telefon numarasına sahip modemi getirip baglantıyı yapacak olup sozlesmeyi imzalatacak olan bayi haftadır gelmek bir yana dursun arıyor soruyor defalarca musteri hizmetlerine durumu iletsem sorun bir turlu cozulmuyor subenin numarasını aradım telefonunuzu bırakın ararız otomatik komutuyla karsılasıyorum iki ayrı telefon numarası bıraktım arayan soran var sorun kısa surede cozulmezse yegenimin aboneligiyle aboneligimi iptal edip cimere sikayet edecegim interneti satın alan kin telefon numarasını bırakıyorum umarım gereken hassasiyeti gosterirsiniz calısmalar diliyorum|diğer
bugun superonline fiber hizmet alamayısımın yaklasık inci saatine geldik sabaha gelmeyecek sabahta gelmesi supheli aradıgım zaman musteri hizmetlerindeki ilgililer kısa surede diyor hizmet masalı anlatıyor arkadas otuzuncu yılını kutluyor ovunen bir firmaya yakısmayan bir kesinti isin kotusu tv hizmetini internet uzerinden alıyorum kuzey kore ye donduk zamana internet saglayıcı firmada bir kesinti yasamadım esimin ısrarı telefonu turkcell yapmıstım pismanım uzun lafın kısası turkcell superonline pismanlıktır|network
gece yarısı internet gitti genel altyapı calısması yapılıyormus universite sınavına girecegim internet uzerinden calısıyorum muhtesem bir is yaptınız bıktım gercekten araya araya musteri numaramı ezberlettiniz bana bugunu buldunuz calısma yapacak ulkede olup bitenlerden bir habersiniz|diğer
superonline kullanıyordum adres degisikligi iptal etmek zorunda kaldık modemi gelip alacaklarını soylediler gelen oldu arayıp soran faturama modemin parasını eklemisler defalarca musteri hizmetlerini aramama gelip almadılar modemin ucretini odememi istiyorlar|fatura
bugun saat sularında numaralı turkcell superonline aboneligimin devir islemlerini yaptırmak superonline maltepe bayisi olan guneynet iletisime gittim devir islemlerimizi yapmakta olan kadın personel kimliklerimizi istedi sahsi cep telefonu kimliklerimizin fotografını cekti kimliklerimizin fotografını cektigi telefon zannedersem sevgilisi konustu kadın personele fotokopi cekmek telefonu kimlik fotografını cektigini sordugumda fotokopi makinesinin arızalı oldugu yalanını soyledi kadın personel superonline sirketine gelen musterilerin kimliklerini cep telefonunda depolayıp saklayarak gorevinin sagladıgı kolaylıktan yararlanarak kvkk kanununa aykırı eylemlerde bulunmustur durumu kadın personele belirterek kimliklerimizi sahsi telefonundan silmesini soyledim kadın personel kimlik fotograflarımızı silmemistir kadın personel musterilerin kimlik fotograflarını suc orgutlerine satmaktadır yapılan buyuk bir suctur goz yuman turkcell firması suca ortak olmaktadır guneynet firması kadın personel hakkında kvkk kapsamında savcılıga suc duyurusunda bulunacagım turkcell kadın personelin isine son vermezse turkcell yonetim kurulu hakkında suc duyurusunda bulunacagım sahsımın devir islemini yaptıgım annemin kimlik bilgileri veveya kimlik fotografları bilgimiz haricinde bir islemde kullanılırsa sorumlusu turkcell guneynet iletisim sirketi sahibimuduru kimlik fotograflarımızı sahsi telefonuna kaydeden silinmesini talep ettigimiz halde silmeyen kadın personel olacaktır turkcell superonline tarafından tarihinde saat sularında yapılan devir islemimiz esnasındaki kamera kayıtlarının incelenerek kadın personelin yaptıgı illegal eylemi tespit etmelerini sirket kadın personelin telefonuna ivedilikle el konularak detaylıca incelenmesini kimlik fotograflarımız personelin telefonunda duruyorsa turkcell olarak personelleri hakkında savcılıga suc duyurusunda bulunmalarını kadın personelin kimlik bilgilerimizi baskalarına gonderip gondermedigininsatıp satmadıgının tespitinin yapılmasını sirket ici tahkikat surec hakkında tarafıma bilgi verilmesini talep ediyorum|network
turkcell superonline internet sorunu gun musteri hizmetlerini aradım dun arayıp bugun saat de geleceklerini soylediler aksam geldiler is yerinden izin almıstım sebeple gun bos yere evde bekledim gelen arkadas interneti yaptım deyip gitti interneti yapamamıs sorun hala devam ediyor uc gundur internete giremiyorum ilgilenen yok gonderdikleri arkadas amator sanırım yaptım deyip yapmadan gitti tekrar bekle turkcell sorunu cozsun isimiz allaha kaldı yani|network
interneti tarihinde kurulumunu yaptırdım ay kullanmadan tarihinde tarafıma fatura yansıtıldı ustune ustelik gundur evimde internetim yok musteri temsilcisini aradıgımda arıza kaydı olusturuldugunu saat icerisinde yapılacagı soylendi bugun saat doldu hala internetsizim tekrar musteri temsilcisini aradıgımda adıma tekrar bir arıza kaydı olusturdugunu saat icerisinde netlesecegini soyledi yarın cuma arızamın ivedi bir sekilde giderilmesini talep ediyorum yeni bir kullanıcı olarak sorunlarla karsılasmam olmadı aksi takdirde gereken yerlere basvuruda bulunacagımı ozellikle iletiyorum|fatura
engelliyim mart ayında superonline musterisi oldum kurulum asamasında belgemi vermeme sosyal destek tarifesi uygulanmadı normal tarife uygulanmıs faturalarım otomatik odemede oldugu fark edemedim talep olusturmama hala islem yapılmıyor|fatura
turkcell superonline kurumsal musterisiyim dukkanımı gun icinde bosaltacagım bugun telefonla musteri hizmetlerini aradım olarak anneme devretmek istedim yazlıkta kullansınlar dusundum bireysele cevirmem gerektigi annemin ikametgahı tapu onun evde gorunmedigi devir olamayacagı soylendi devretmeden kalan ayı nakil ucreti verip kullanayım dedim ikametgahınız olmaz dediler cayma bedeli odesem dedim tl aylık fatura ucreti dusuk oluyor pesin odememiz gerekir dediler oturdugum evime tasıyayım ay dondurayım dedim aynı adreste iki abonelik olmuyor dediler dukkanımı kapatıyorum devir nakil dondurma yaptırmama izin verilmiyor aydır kullanmadıgım ay kullanmayacagım internet musteriyi zorlamak hatalı mi turkcellin yardımcı olmak cozum bulmasını istiyorum|kurumsal
superonline fiber mbit abonesiyim superonlineın sitesinden adresimi girerek sorgulama yaptıgımda fiber bilgisinin sisteme tanımlı olmadıgını goruyorum onlinea ozel tarifeye kampanyaya katılamıyorum durumun duzeltilmesini adresimizin sisteme tanımlanmasını talep ediyorum|network
turkcell superonline pismanlıktır hemen hemen seneden mbps parası alıyorlar gelen hız mbps defalarca sikayette bulundum kimseler ilgilenmedi arızanız giderildi diyorlar degisen bir yok iptal ettirmek istedigim zaman cayma bedeli var diyorlar fazla alınan ucretin iadesini istiyorum mbps deyip mbps kullanıp mbps parası alamazsınız insanlardan|network
belirttikleri ozelliklere sahip olmayan guncelleme kabul etmeyen bir tablet sattılar geri iade kabul etmiyorlar cihazın faturasını kesip gondermiyorlar muhatap bulamıyoruz superonline almak buyuk bir hata pisman olduk|fatura
superonline ev interneti lag sorunu gecen gunlerde interneti ttnetten superonlinea gecirdim aksamları eve gelince stres atmak oynadıgım oyunları oynayamaz oldum oyun icinde surekli lag giriyor ping degeri sabit lag tan oyun oynayamıyorum musteri hizmetlerini aradıgımda test yapıyoruz normal diyorlar test ettiniz soruyorum ping degeri baglantı sorununu diyorlar calısanlara ezberletmisler yapması gereken testleri hazır metinleri gercekten sikayeti anlatıp cozmeye yeltenen yok superonline pismanlıktır|network
superonline iki gundur internet erisimi saglayamıyor actıgım arıza kaydına donus yapmıyorlar gun evde bekledim iki arayıp gelecegiz dediler gelmediler gun icerisinde telefonla gorustum bir bilgi alamadım arızanın oldugu oldugu belli degil hizmet verilmedigi aboneligimi surdurmeyecegim|network
superonline eski modemimin yeni modemle degistirilmesinden cekmemesi devamlı musteri hizmetleriyle gorusmeme care bulunamaması servisin ucretli gelecegini soylemeleri bir turlu cozum bulamıyorum yapacagımı bilemiyorum|network
